medicare_provider_number,is_hospital_a_critical_access_hospital_y_n,hospital_compare_star_rating_october_na_not_available,number_of_outpatient_services,total_private_allowed_amount_for_outpatient_services_millions,simulated_medicare_allowed_amount_for_outpatient_services_millions,relative_price_for_outpatient_services,standardized_price_per_outpatient_service,number_of_inpatient_stays,total_private_allowed_amount_for_inpatient_services_millions,simulated_medicare_allowed_amount_for_inpatient_services_millions,relative_price_for_inpatient_services,standardized_price_per_inpatient_stay,total_private_allowed_amount_for_inpatient_and_outpatient_services_millions,simulated_medicare_allowed_amount_for_inpatient_and_outpatient_services_millions,relative_price_for_professional_inpatient_and_outpatient_services,relative_price_for_inpatient_facility_services,relative_price_for_outpatient_facility_services,relative_price_for_inpatient_and_outpatient_services,total_private_allowed_amount_for_facility_inpatient_and_outpatient_services_millions,simulated_medicare_allowed_amount_for_facility_inpatient_and_outpatient_services_millions,total_private_allowed_amount_for_professional_inpatient_and_outpatient_services_millions,simulated_medicare_allowed_amount_for_professional_inpatient_and_outpatient_services_millions
010001,N,2,54,0.11,0.09,1.22,92.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1016049023,NA,NA,NA,NA,NA
010005,N,1,43,0.04,0.02,2.16,192.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3761457327,NA,NA,NA,NA,NA
010006,N,3,17,0.03,0.01,2.36,181.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4471582321,NA,NA,NA,NA,NA
010011,N,2,28,0.06,0.03,1.66,128.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4705234938,NA,NA,NA,NA,NA
010018,N,NA,13,0.08,0.03,2.44,250.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2093165981,NA,NA,NA,NA,NA
010019,N,3,24,0.04,0.02,2,154.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9561334521,NA,NA,NA,NA,NA
010023,N,2,57,0.05,0.03,1.48,120.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3978691742,NA,NA,NA,NA,NA
010024,N,2,32,0.03,0.03,1.09,99.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0854986774,NA,NA,NA,NA,NA
010029,N,4,602,0.98,0.61,1.6,131.71,37,0.56,0.27,2.03,13368,1.54,0.89,1.57,2.137888314,1.5949565823,1.73,1.29,0.73,0.25,0.16
010033,N,2,277,0.82,0.23,3.57,324.19,38,2.08,0.61,3.39,35205,2.9,0.84,2.2,3.6083893403,4.027021893,3.44,2.57,0.69,0.33,0.15
010034,N,3,28,0.02,0.01,1.29,105.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.134007131,NA,NA,NA,NA,NA
010035,N,2,42,0.06,0.03,1.95,172.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9967821866,NA,NA,NA,NA,NA
010039,N,2,560,0.83,0.4,2.07,187.63,68,1.5,0.65,2.32,18784,2.34,1.05,1.28,2.649027594,2.3001218452,2.22,2.01,0.8,0.32,0.25
010040,N,2,12,0.09,0.01,8.81,843.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.775651086,NA,NA,NA,NA,NA
010049,N,3,13,0.07,0.01,9.48,807.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.437424435,NA,NA,NA,NA,NA
010055,N,3,49,0.05,0.05,1.06,81.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0743090037,NA,NA,NA,NA,NA
010056,N,4,100,0.27,0.18,1.44,120.87,12,0.2,0.11,1.84,15054,0.46,0.29,1.27,2.1147073234,1.466403504,1.59,0.37,0.22,0.09,0.07
010065,N,3,15,0.01,0.01,1.1,86.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0013406656,NA,NA,NA,NA,NA
010078,N,2,20,0.03,0.03,1.33,110.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3369130416,NA,NA,NA,NA,NA
010083,N,3,178,0.34,0.14,2.38,189.47,13,0.14,0.08,1.79,11162,0.48,0.22,1.67,1.8720744122,2.5477887721,2.16,0.41,0.18,0.07,0.04
010085,N,3,80,0.12,0.04,2.76,223.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0243279425,NA,NA,NA,NA,NA
010087,N,3,12,0.01,0.01,1.53,131.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5038931259,NA,NA,NA,NA,NA
010090,N,2,83,0.08,0.04,1.83,150.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8820266063,NA,NA,NA,NA,NA
010092,N,2,114,0.13,0.08,1.67,158.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6800527412,NA,NA,NA,NA,NA
010099,N,3,19,0.01,0.01,1.64,121.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6780115196,NA,NA,NA,NA,NA
010100,N,3,95,0.18,0.09,2.1,152.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2577703936,NA,NA,NA,NA,NA
010104,N,2,62,0.15,0.11,1.37,113.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3116366039,NA,NA,NA,NA,NA
010108,N,3,16,0.01,0.01,1.8,154.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9296466291,NA,NA,NA,NA,NA
010113,N,1,57,0.1,0.06,1.52,115.99,13,0.15,0.13,1.13,7081,0.25,0.2,1.6,1.0777318876,1.4265687789,1.25,0.2,0.17,0.05,0.03
010114,N,3,85,0.15,0.08,1.86,162.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9299052338,NA,NA,NA,NA,NA
010126,N,2,20,0.02,0.01,1.86,162.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0406628816,NA,NA,NA,NA,NA
010129,N,2,12,0.01,0.01,1.55,132.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5363582437,NA,NA,NA,NA,NA
010130,N,5,22,0.03,0.03,1.31,106.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2135933841,NA,NA,NA,NA,NA
010131,N,2,70,0.14,0.08,1.81,153.31,15,0.2,0.12,1.62,10686,0.34,0.2,1.32,1.7679673817,1.820067498,1.69,0.28,0.16,0.06,0.04
010139,N,3,28,0.07,0.06,1.28,85.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3540195123,NA,NA,NA,NA,NA
010144,N,1,18,0.03,0.02,1.55,127.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5135782188,NA,NA,NA,NA,NA
010149,N,4,46,0.07,0.04,1.68,134.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6000223189,NA,NA,NA,NA,NA
010157,N,3,42,0.13,0.03,3.69,267.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.117039229,NA,NA,NA,NA,NA
